IND,EMP,CON,DATE
2.54,1.3,4.62,39234
2.54,1.1,4.15,39264
2.37,1,4.64,39295
2.97,0.9,4.74,39326
2.6,1,4.84,39356
3.3,0.9,5.52,39387
2.25,0.8,4.64,39417
2.51,0.7,4.35,39448
1.14,0.6,3.84,39479
0.68,0.3,3.91,39508
-0.78,0.1,3.96,39539
-1.38,-0.1,4.17,39569
-1.64,-0.3,4.56,39600
-2.13,-0.4,4.07,39630
-3.84,-0.6,3.49,39661
-8.36,-1,2.51,39692
-7.1,-1.4,1.36,39722
-8.8,-2,-0.78,39753
-11.48,-2.6,-1.79,39783
-13.35,-3.1,-1.47,39814
-13.62,-3.6,-1.49,39845
-14.79,-4.2,-2.42,39873
-14.82,-4.5,-2.72,39904
-15.2,-4.6,-3.03,39934
-15.33,-4.9,-2.98,39965
-13.95,-5,-2.6,39995
-11.63,-4.9,-1.32,40026
-6.93,-4.8,-1.59,40057
-7.51,-4.6,-0.29,40087
-5.96,-4,1.22,40118
-2.83,-3.7,2.76,40148
0.69,-3.2,2.23,40179
1.71,-2.7,2.71,40210
4.03,-2,3.81,40238
5.25,-1.3,3.99,40269
7.88,-0.6,3.92,40299
8.46,-0.4,3.51,40330
7.75,-0.2,3.49,40360
6.88,0,2.68,40391
6.32,0.1,3.7,40422
5.7,0.4,3.75,40452
5.31,0.5,4.17,40483
6.01,0.8,3.93,40513
4.66,0.8,4.34,40544
3.83,1,4.38,40575
4.17,1.1,4.57,40603
3.42,1.1,4.69,40634
2.16,0.8,4.75,40664
2.3,1.1,4.78,40695
2.4,1.2,4.84,40725
2.66,1.3,4.62,40756
2.4,1.5,4.77,40787
3.38,1.5,4.35,40817
3.26,1.5,3.91,40848
2.84,1.6,3.66,40878
3.6,1.8,4.09,40909
4.3,1.9,4.62,40940
2.79,1.9,3.8,40969
3.93,1.7,3.7,41000
3.9,1.7,3.36,41030
3.58,1.6,2.91,41061
3.3,1.6,2.81,41091
2.23,1.7,2.84,41122
2.31,1.6,3.01,41153
1.83,1.6,3.22,41183
2.4,1.6,3.51,41214
2.19,1.6,3.42,41244
1.44,1.5,3.14,41275
1.79,1.5,2.61,41306
2.68,1.4,2.51,41334
1.74,1.5,2.06,41365
1.65,1.6,2.52,41395
1.88,1.7,2.95,41426
1.18,1.7,2.91,41456
2.34,1.7,2.95,41487
2.81,1.7,2.76,41518
2.42,1.8,2.88,41548
2.23,1.8,3.15,41579
2.18,1.7,3.39,41609
1.89,1.7,2.69,41640
2.16,1.6,2.98,41671
2.73,1.7,3.72,41699
2.95,1.8,4.48,41730
3.21,1.8,4.5,41760
3.39,1.9,4.83,41791
4.03,2,4.97,41821
3.24,1.9,5.38,41852
3.01,2,5.12,41883
3.22,2,5.24,41913
3.72,2,4.9,41944
3.26,2.2,4.75,41974
3.17,2.2,4.66,42005
1.79,2.3,4.45,42036
0.53,2.1,4.3,42064
-0.11,2.1,4.1,42095
-0.9,2.2,4.34,42125
-1.6,2.1,4.09,42156
-1.22,2.1,4.21,42186
-1.27,2.1,3.75,42217
-1.93,1.9,3.65,42248
-2.3,2,3.07,42278
-3.73,1.9,3.09,42309
-4.14,1.9,3.22,42339
