DATE,DGS1,DGS10,DGS5,DGS3MO,DGS6MO
1962-01-01,3.2022580645161290,4.0162903225806452,3.8351612903225806,.,.
1962-04-01,3.0144444444444444,3.8757142857142857,3.6314285714285714,.,.
1962-07-01,3.1877777777777778,3.9895238095238095,3.7393650793650794,.,.
1962-10-01,2.9936065573770492,3.9024590163934426,3.5996721311475410,.,.
1963-01-01,3.0278688524590164,3.8921311475409836,3.6388524590163934,.,.
1963-04-01,3.1417460317460317,3.9636507936507937,3.7544444444444444,.,.
1963-07-01,3.5260937500000000,4.0320312500000000,3.9109375000000000,.,.
1963-10-01,3.7268852459016393,4.1181967213114754,4.0067213114754098,.,.
1964-01-01,3.8308196721311475,4.1786885245901639,4.0826229508196721,.,.
1964-04-01,3.8614062500000000,4.2007812500000000,4.0750000000000000,.,.
1964-07-01,3.7656250000000000,4.1943750000000000,4.0520312500000000,.,.
1964-10-01,3.9337704918032787,4.1745901639344262,4.0673770491803279,.,.
1965-01-01,4.0129508196721311,4.2037704918032787,4.1332786885245902,.,.
1965-04-01,4.0182539682539683,4.2095238095238095,4.1493650793650794,.,.
1965-07-01,4.0857812500000000,4.2492187500000000,4.2017187500000000,.,.
1965-10-01,4.4731147540983607,4.4763934426229508,4.5147540983606557,.,.
1966-01-01,4.9306349206349206,4.7739682539682540,4.9200000000000000,.,.
1966-04-01,4.9342857142857143,4.7820634920634921,4.8985714285714286,.,.
1966-07-01,5.5192187500000000,5.1460937500000000,5.3965625000000000,.,.
1966-10-01,5.4365000000000000,4.9980000000000000,5.2056666666666667,.,.
1967-01-01,4.5939344262295082,4.5796721311475410,4.6536065573770492,.,.
1967-04-01,4.2495312500000000,4.8284375000000000,4.7635937500000000,.,.
1967-07-01,5.1273015873015873,5.2469841269841270,5.3119047619047619,.,.
1967-10-01,5.5608196721311475,5.6418032786885246,5.6967213114754098,.,.
1968-01-01,5.4761290322580645,5.6109677419354839,5.6264516129032258,.,.
1968-04-01,5.9514516129032258,5.7461290322580645,5.8653225806451613,.,.
1968-07-01,5.5100000000000000,5.4585937500000000,5.5246875000000000,.,.
1968-10-01,5.8324193548387097,5.7677419354838710,5.7750000000000000,.,.
1969-01-01,6.3626229508196721,6.1709836065573770,6.3311475409836066,.,.
1969-04-01,6.5742857142857143,6.3569841269841270,6.5260317460317460,.,.
1969-07-01,7.6528571428571429,6.8568253968253968,7.2019047619047619,.,.
1969-10-01,7.8991803278688525,7.3104918032786885,7.6754098360655738,.,.
1970-01-01,7.5500000000000000,7.3751666666666667,7.7288333333333333,.,.
1970-04-01,7.4467692307692308,7.7100000000000000,7.7716923076923077,.,.
1970-07-01,6.9406250000000000,7.4579687500000000,7.4871875000000000,.,.
1970-10-01,5.6411475409836066,6.8460655737704918,6.5044262295081967,.,.
1971-01-01,4.0342622950819672,5.9995081967213115,5.4585245901639344,.,.
1971-04-01,5.0041269841269841,6.2515873015873016,6.1585714285714286,.,.
1971-07-01,5.7520312500000000,6.4854687500000000,6.5128125000000000,.,.
1971-10-01,4.7208196721311475,5.8880327868852459,5.7931147540983607,.,.
1972-01-01,4.4130158730158730,6.0322222222222222,5.7212698412698413,.,.
1972-04-01,4.8409375000000000,6.1409375000000000,5.9706250000000000,.,.
1972-07-01,5.1488888888888889,6.2871428571428571,6.0774603174603175,.,.
1972-10-01,5.4378333333333333,6.3728333333333333,6.1523333333333333,.,.
1973-01-01,6.3179032258064516,6.6009677419354839,6.5808064516129032,.,.
1973-04-01,7.0166666666666667,6.8080952380952381,6.7239682539682540,.,.
1973-07-01,8.5223809523809524,7.2187301587301587,7.3573015873015873,.,.
1973-10-01,7.4140000000000000,6.7563333333333333,6.8281666666666667,.,.
1974-01-01,7.3788524590163934,7.0552459016393443,7.0350819672131148,.,.
1974-04-01,8.6930158730158730,7.5419047619047619,8.0665079365079365,.,.
1974-07-01,9.0150000000000000,7.9598437500000000,8.4628125000000000,.,.
1974-10-01,7.6760655737704918,7.6737704918032787,7.6555737704918033,.,.
1975-01-01,6.3355000000000000,7.5441666666666667,7.2836666666666667,.,.
1975-04-01,6.5328125000000000,8.0518750000000000,7.7432812500000000,.,.
1975-07-01,7.5151562500000000,8.2915625000000000,8.2012500000000000,.,.
1975-10-01,6.6952459016393443,8.0632786885245902,7.8481967213114754,.,.
1976-01-01,5.9858064516129032,7.7540322580645161,7.4664516129032258,.,.
1976-04-01,6.2838095238095238,7.7730158730158730,7.4836507936507937,.,.
1976-07-01,6.0156250000000000,7.7321875000000000,7.3079687500000000,.,.
1976-10-01,5.2159016393442623,7.1781967213114754,6.4460655737704918,.,.
1977-01-01,5.4206349206349206,7.3569841269841270,6.7836507936507937,.,.
1977-04-01,5.7000000000000000,7.3660317460317460,6.8287301587301587,.,.
1977-07-01,6.2914285714285714,7.3588888888888889,6.9768253968253968,.,.
1977-10-01,6.9591666666666667,7.5971666666666667,7.3815000000000000,.,.
1978-01-01,7.3091803278688525,8.0077049180327869,7.8186885245901639,.,.
1978-04-01,7.7998412698412698,8.3255555555555556,8.1769841269841270,.,.
1978-07-01,8.4411111111111111,8.4853968253968254,8.4279365079365079,.,.
1978-10-01,9.8042622950819672,8.8150819672131148,8.8408196721311475,.,.
1979-01-01,10.3043548387096774,9.1054838709677419,9.1825806451612903,.,.
1979-04-01,9.9348387096774194,9.1150000000000000,9.1096774193548387,.,.
1979-07-01,10.1287301587301587,9.0950793650793651,9.1111111111111111,.,.
1979-10-01,12.2760655737704918,10.4378688524590164,10.6508196721311475,.,.
