DATE,HOUSNG
01.07.2013,18.9
01.08.2013,21.6
01.09.2013,0.4
01.10.2013,1.1
01.11.2013,32.1
01.12.2013,2.7
01.01.2014,0
01.02.2014,-1.9
01.03.2014,-4
01.04.2014,24.9
01.05.2014,8.3
01.06.2014,8.6
01.07.2014,23.3
01.08.2014,7.3
01.09.2014,20.4
01.10.2014,16.1
01.11.2014,-9
01.12.2014,7.1
01.01.2015,23
01.02.2015,-5.9
01.03.2015,-0.8
01.04.2015,14.2
01.05.2015,7.3
01.06.2015,31.6
01.07.2015,4.9
01.08.2015,15
01.09.2015,18.8
01.10.2015,-1.1
01.11.2015,16.8
01.12.2015,7.8
