,Y,H1,H2,H4,H8,N1,N2,N4,N8,F1,F2,F4,F8
01-10-99,12877.593,4.6947,4.65353,4.64359,4.5137,4.6947,2.34735,1.17368,0.58684,1.6853,1.6853,1.6853,1.6853
01-01-00,12924.179,4.11379,4.40425,4.49421,4.43529,4.11379,2.05689,1.02845,0.51422,0.36111,0.36111,0.36111,0.36111
01-04-00,13160.842,5.16217,4.63798,4.64576,4.57877,5.16217,2.58109,1.29054,0.64527,1.8146,1.8146,1.8146,1.8146
01-07-00,13178.419,3.99448,4.57833,4.49129,4.57608,3.99448,1.99724,0.99862,0.49931,0.13347,0.13347,0.13347,0.13347
01-10-00,13260.506,2.93013,3.4623,4.05014,4.34687,2.93013,1.46507,0.73253,0.36627,0.62096,0.62096,0.62096,0.62096
01-01-01,13222.69,2.28344,2.60679,3.59256,4.04338,2.28344,1.14172,0.57086,0.28543,-0.28559,-0.28559,-0.28559,-0.28559
01-04-01,13299.984,1.05169,1.66757,2.56494,3.60535,1.05169,0.52585,0.26292,0.13146,0.58285,0.58285,0.58285,0.58285
01-07-01,13244.784,0.50232,0.77701,1.6919,3.09159,0.50232,0.25116,0.12558,0.06279,-0.4159,-0.4159,-0.4159,-0.4159
01-10-01,13280.859,0.15337,0.32785,0.99771,2.52392,0.15337,0.07668,0.03834,0.01917,0.272,0.272,0.272,0.272
01-01-02,13397.002,1.30967,0.73152,0.75426,2.17341,1.30967,0.65483,0.32742,0.16371,0.87071,0.87071,0.87071,0.87071
01-04-02,13478.152,1.33072,1.32019,0.82402,1.69448,1.33072,0.66536,0.33268,0.16634,0.60391,0.60391,0.60391,0.60391
01-07-02,13538.072,2.1902,1.76046,1.24599,1.46894,2.1902,1.0951,0.54755,0.27378,0.44359,0.44359,0.44359,0.44359
01-10-02,13559.032,2.07291,2.13156,1.72587,1.36179,2.07291,1.03645,0.51823,0.25911,0.1547,0.1547,0.1547,0.1547
01-01-03,13634.253,1.75543,1.91417,1.83731,1.29579,1.75543,0.87771,0.43886,0.21943,0.55323,0.55323,0.55323,0.55323
01-04-03,13751.543,2.0081,1.88177,2.00666,1.41534,2.0081,1.00405,0.50203,0.25101,0.85658,0.85658,0.85658,0.85658
01-07-03,13985.073,3.24847,2.62829,2.27123,1.75861,3.24847,1.62423,0.81212,0.40606,1.68395,1.68395,1.68395,1.68395
01-10-03,14145.645,4.23539,3.74193,2.81185,2.26886,4.23539,2.1177,1.05885,0.52942,1.14163,1.14163,1.14163,1.14163
01-01-04,14221.147,4.21449,4.22494,3.42661,2.63196,4.21449,2.10724,1.05362,0.52681,0.53233,0.53233,0.53233,0.53233
01-04-04,14329.523,4.11709,4.16579,3.95386,2.98026,4.11709,2.05855,1.02927,0.51464,0.75919,0.75919,0.75919,0.75919
01-07-04,14464.984,3.37403,3.74556,3.98525,3.12824,3.37403,1.68701,0.84351,0.42175,0.94089,0.94089,0.94089,0.94089
01-10-04,14609.876,3.22909,3.30156,3.73367,3.27276,3.22909,1.61455,0.80727,0.40364,0.99669,0.99669,0.99669,0.99669
01-01-05,14771.602,3.79765,3.51337,3.62947,3.52804,3.79765,1.89882,0.94941,0.47471,1.10088,1.10088,1.10088,1.10088
01-04-05,14839.782,3.49896,3.6483,3.47493,3.7144,3.49896,1.74948,0.87474,0.43737,0.4605,0.4605,0.4605,0.4605
01-07-05,14972.054,3.44546,3.47221,3.49279,3.73902,3.44546,1.72273,0.86136,0.43068,0.88738,0.88738,0.88738,0.88738
01-10-05,15066.597,3.07824,3.26185,3.45508,3.59438,3.07824,1.53912,0.76956,0.38478,0.62948,0.62948,0.62948,0.62948
01-01-06,15267.026,3.29888,3.18856,3.33038,3.47992,3.29888,1.64944,0.82472,0.41236,1.32152,1.32152,1.32152,1.32152
01-04-06,15302.705,3.07181,3.18534,3.2236,3.34926,3.07181,1.5359,0.76795,0.38398,0.23343,0.23343,0.23343,0.23343
01-07-06,15326.368,2.33893,2.70537,2.94697,3.21988,2.33893,1.16947,0.58473,0.29237,0.15451,0.15451,0.15451,0.15451
01-10-06,15456.928,2.55771,2.44832,2.81683,3.13596,2.55771,1.27886,0.63943,0.31971,0.84826,0.84826,0.84826,0.84826
01-01-07,15493.328,1.47141,2.01456,2.35997,2.84518,1.47141,0.73571,0.36785,0.18393,0.23522,0.23522,0.23522,0.23522
01-04-07,15582.085,1.80922,1.64032,2.04432,2.63396,1.80922,0.90461,0.45231,0.22615,0.57124,0.57124,0.57124,0.57124
01-07-07,15666.738,2.19651,2.00287,2.00872,2.47784,2.19651,1.09826,0.54913,0.27456,0.5418,0.5418,0.5418,0.5418
01-10-07,15761.967,1.95426,2.07538,1.85785,2.33734,1.95426,0.97713,0.48856,0.24428,0.606,0.606,0.606,0.606
01-01-08,15671.383,1.14268,1.54847,1.77567,2.06782,1.14268,0.57134,0.28567,0.14284,-0.57636,-0.57636,-0.57636,-0.57636
01-04-08,15752.308,1.0865,1.11459,1.59499,1.81966,1.0865,0.54325,0.27163,0.13581,0.51506,0.51506,0.51506,0.51506
01-07-08,15667.032,0.00188,0.54419,1.04633,1.52752,0.00188,0.00094,0.00047,0.00023,-0.54283,-0.54283,-0.54283,-0.54283
01-10-08,15328.027,-2.79169,-1.39491,-0.14016,0.85885,-2.79169,-1.39585,-0.69792,-0.34896,-2.18756,-2.18756,-2.18756,-2.18756
01-01-09,15155.94,-3.34438,-3.06803,-1.26192,0.25687,-3.34438,-1.67219,-0.83609,-0.41805,-1.12904,-1.12904,-1.12904,-1.12904
01-04-09,15134.117,-4.00353,-3.67395,-2.53443,-0.46972,-4.00353,-2.00176,-1.00088,-0.50044,-0.14409,-0.14409,-0.14409,-0.14409
01-07-09,15189.222,-3.09725,-3.55039,-3.30921,-1.13144,-3.09725,-1.54863,-0.77431,-0.38716,0.36345,0.36345,0.36345,0.36345
01-10-09,15356.058,0.18271,-1.45727,-2.56561,-1.35289,0.18271,0.09135,0.04568,0.02284,1.0924,1.0924,1.0924,1.0924
01-01-10,15415.145,1.69579,0.93925,-1.30557,-1.28375,1.69579,0.8479,0.42395,0.21197,0.38404,0.38404,0.38404,0.38404
01-04-10,15557.277,2.75769,2.22674,0.38473,-1.07485,2.75769,1.37885,0.68942,0.34471,0.9178,0.9178,0.9178,0.9178
01-07-10,15671.967,3.12875,2.94322,1.94123,-0.68399,3.12875,1.56437,0.78219,0.39109,0.73451,0.73451,0.73451,0.73451
01-10-10,15750.625,2.537,2.83287,2.52981,-0.0179,2.537,1.2685,0.63425,0.31712,0.50065,0.50065,0.50065,0.50065
01-01-11,15712.754,1.91223,2.22461,2.58392,0.63917,1.91223,0.95611,0.47806,0.23903,-0.24073,-0.24073,-0.24073,-0.24073
01-04-11,15825.096,1.70685,1.80954,2.32121,1.35297,1.70685,0.85343,0.42671,0.21336,0.71243,0.71243,0.71243,0.71243
01-07-11,15820.7,0.94456,1.32571,1.77516,1.8582,0.94456,0.47228,0.23614,0.11807,-0.02778,-0.02778,-0.02778,-0.02778
01-10-11,16004.107,1.59653,1.27055,1.54004,2.03493,1.59653,0.79827,0.39913,0.19957,1.15262,1.15262,1.15262,1.15262
01-01-12,16129.418,2.61721,2.10687,1.71629,2.1501,2.61721,1.3086,0.6543,0.32715,0.77994,0.77994,0.77994,0.77994
01-04-12,16198.807,2.33406,2.47563,1.87309,2.09715,2.33406,1.16703,0.58351,0.29176,0.42928,0.42928,0.42928,0.42928
01-07-12,16220.667,2.4967,2.41538,2.26112,2.01814,2.4967,1.24835,0.62417,0.31209,0.13486,0.13486,0.13486,0.13486
01-10-12,16239.138,1.45789,1.97729,2.22646,1.88325,1.45789,0.72894,0.36447,0.18224,0.11381,0.11381,0.11381,0.11381
01-01-13,16382.964,1.55972,1.5088,1.96209,1.83919,1.55972,0.77986,0.38993,0.19497,0.88178,0.88178,0.88178,0.88178
01-04-13,16403.18,1.25376,1.40674,1.69202,1.78255,1.25376,0.62688,0.31344,0.15672,0.12332,0.12332,0.12332,0.12332
01-07-13,16531.685,1.89927,1.57651,1.54266,1.90189,1.89927,0.94963,0.47482,0.23741,0.78036,0.78036,0.78036,0.78036
01-10-13,16663.649,2.58054,2.2399,1.82332,2.02489,2.58054,1.29027,0.64513,0.32257,0.79508,0.79508,0.79508,0.79508
01-01-14,16616.54,1.41566,1.9981,1.78731,1.8747,1.41566,0.70783,0.35391,0.17696,-0.28311,-0.28311,-0.28311,-0.28311
01-04-14,16841.475,2.63694,2.0263,2.1331,1.91256,2.63694,1.31847,0.65923,0.32962,1.3446,1.3446,1.3446,1.3446
01-07-14,17047.098,3.07011,2.85353,2.42581,1.98424,3.07011,1.53506,0.76753,0.38376,1.21354,1.21354,1.21354,1.21354
01-10-14,17143.038,2.83625,2.95318,2.48974,2.15653,2.83625,1.41813,0.70906,0.35453,0.56122,0.56122,0.56122,0.56122
01-01-15,17277.58,3.90111,3.36868,3.1111,2.4492,3.90111,1.95056,0.97528,0.48764,0.78176,0.78176,0.78176,0.78176
01-04-15,17405.669,3.29514,3.59812,3.27565,2.70438,3.29514,1.64757,0.82378,0.41189,0.73863,0.73863,0.73863,0.73863
01-07-15,17463.222,2.41171,2.85342,3.11105,2.76843,2.41171,1.20585,0.60293,0.30146,0.33011,0.33011,0.33011,0.33011
01-10-15,17468.902,1.88301,2.14736,2.87274,2.68124,1.88301,0.94151,0.47075,0.23538,0.03252,0.03252,0.03252,0.03252
