CON;DATE
4,61696;01.02.2012
3,80361;01.03.2012
3,70339;01.04.2012
3,36035;01.05.2012
2,90971;01.06.2012
2,80684;01.07.2012
2,83629;01.08.2012
3,01171;01.09.2012
3,22419;01.10.2012
3,50667;01.11.2012
3,41899;01.12.2012
3,13659;01.01.2013
2,61195;01.02.2013
2,51374;01.03.2013
2,05561;01.04.2013
2,51627;01.05.2013
2,9462;01.06.2013
2,91058;01.07.2013
2,95435;01.08.2013
2,76093;01.09.2013
2,88293;01.10.2013
3,14992;01.11.2013
3,38764;01.12.2013
2,68594;01.01.2014
2,97964;01.02.2014
3,71779;01.03.2014
4,47731;01.04.2014
4,50261;01.05.2014
4,8266;01.06.2014
4,96959;01.07.2014
5,38343;01.08.2014
5,11925;01.09.2014
5,24177;01.10.2014
4,89745;01.11.2014
4,75;01.12.2014
4,66111;01.01.2015
4,44598;01.02.2015
4,30418;01.03.2015
4,10264;01.04.2015
4,3418;01.05.2015
4,08797;01.06.2015
4,20809;01.07.2015
3,75154;01.08.2015
3,64639;01.09.2015
3,06946;01.10.2015
3,09206;01.11.2015
3,22254;01.12.2015
