DATE,AAA,DBAA
1919-01-01,5.3633333333333333,.
1919-04-01,5.4100000000000000,.
1919-07-01,5.5333333333333333,.
1919-10-01,5.6433333333333333,.
1920-01-01,5.8433333333333333,.
1920-04-01,6.2233333333333333,.
1920-07-01,6.2866666666666667,.
1920-10-01,6.1300000000000000,.
1921-01-01,6.1000000000000000,.
1921-04-01,6.1166666666666667,.
1921-07-01,6.0133333333333333,.
1921-10-01,5.6466666666666667,.
1922-01-01,5.2866666666666667,.
1922-04-01,5.1200000000000000,.
1922-07-01,4.9633333333333333,.
1922-10-01,5.0466666666666667,.
1923-01-01,5.0800000000000000,.
1923-04-01,5.1766666666666667,.
1923-07-01,5.1133333333333333,.
1923-10-01,5.0966666666666667,.
1924-01-01,5.0933333333333333,.
1924-04-01,5.0366666666666667,.
1924-07-01,4.9500000000000000,.
1924-10-01,4.9366666666666667,.
1925-01-01,4.9366666666666667,.
1925-04-01,4.8433333333333333,.
1925-07-01,4.8800000000000000,.
1925-10-01,4.8466666666666667,.
1926-01-01,4.7933333333333333,.
1926-04-01,4.7233333333333333,.
1926-07-01,4.7166666666666667,.
1926-10-01,4.6900000000000000,.
1927-01-01,4.6500000000000000,.
1927-04-01,4.5766666666666667,.
1927-07-01,4.5666666666666667,.
1927-10-01,4.4866666666666667,.
1928-01-01,4.4600000000000000,.
1928-04-01,4.5066666666666667,.
1928-07-01,4.6200000000000000,.
1928-10-01,4.6000000000000000,.
1929-01-01,4.6600000000000000,.
1929-04-01,4.7200000000000000,.
1929-07-01,4.7866666666666667,.
1929-10-01,4.7333333333333333,.
1930-01-01,4.6566666666666667,.
1930-04-01,4.5900000000000000,.
1930-07-01,4.4700000000000000,.
1930-10-01,4.4700000000000000,.
1931-01-01,4.4133333333333333,.
1931-04-01,4.3766666666666667,.
1931-07-01,4.4366666666666667,.
1931-10-01,5.0833333333333333,.
1932-01-01,5.1366666666666667,.
1932-04-01,5.3133333333333333,.
1932-07-01,4.9566666666666667,.
1932-10-01,4.6200000000000000,.
1933-01-01,4.5333333333333333,.
1933-04-01,4.6233333333333333,.
1933-07-01,4.3400000000000000,.
1933-10-01,4.4600000000000000,.
1934-01-01,4.2266666666666667,.
1934-04-01,4.0033333333333333,.
1934-07-01,3.9266666666666667,.
1934-10-01,3.8566666666666667,.
1935-01-01,3.7100000000000000,.
1935-04-01,3.6400000000000000,.
1935-07-01,3.5833333333333333,.
1935-10-01,3.4766666666666667,.
1936-01-01,3.3266666666666667,.
1936-04-01,3.2666666666666667,.
1936-07-01,3.2066666666666667,.
1936-10-01,3.1433333333333333,.
1937-01-01,3.2133333333333333,.
1937-04-01,3.3433333333333333,.
1937-07-01,3.2566666666666667,.
1937-10-01,3.2400000000000000,.
1938-01-01,3.1966666666666667,.
1938-04-01,3.2600000000000000,.
1938-07-01,3.2033333333333333,.
1938-10-01,3.1100000000000000,.
1939-01-01,3.0000000000000000,.
1939-04-01,2.9700000000000000,.
1939-07-01,3.0233333333333333,.
1939-10-01,3.0300000000000000,.
1940-01-01,2.8600000000000000,.
1940-04-01,2.9033333333333333,.
1940-07-01,2.8500000000000000,.
1940-10-01,2.7500000000000000,.
1941-01-01,2.7766666666666667,.
1941-04-01,2.8000000000000000,.
1941-07-01,2.7433333333333333,.
1941-10-01,2.7500000000000000,.
1942-01-01,2.8466666666666667,.
1942-04-01,2.8433333333333333,.
1942-07-01,2.8133333333333333,.
1942-10-01,2.8000000000000000,.
1943-01-01,2.7733333333333333,.
1943-04-01,2.7400000000000000,.
1943-07-01,2.6900000000000000,.
1943-10-01,2.7166666666666667,.
1944-01-01,2.7333333333333333,.
1944-04-01,2.7333333333333333,.
1944-07-01,2.7166666666666667,.
1944-10-01,2.7133333333333333,.
1945-01-01,2.6533333333333333,.
1945-04-01,2.6133333333333333,.
1945-07-01,2.6100000000000000,.
1945-10-01,2.6166666666666667,.
1946-01-01,2.4966666666666667,.
1946-04-01,2.4866666666666667,.
1946-07-01,2.5233333333333333,.
1946-10-01,2.6000000000000000,.
1947-01-01,2.5566666666666667,.
1947-04-01,2.5366666666666667,.
1947-07-01,2.5733333333333333,.
1947-10-01,2.7766666666666667,.
1948-01-01,2.8466666666666667,.
1948-04-01,2.7666666666666667,.
1948-07-01,2.8300000000000000,.
1948-10-01,2.8233333333333333,.
1949-01-01,2.7066666666666667,.
1949-04-01,2.7066666666666667,.
1949-07-01,2.6300000000000000,.
1949-10-01,2.5966666666666667,.
1950-01-01,2.5766666666666667,.
1950-04-01,2.6100000000000000,.
1950-07-01,2.6333333333333333,.
1950-10-01,2.6700000000000000,.
1951-01-01,2.7000000000000000,.
1951-04-01,2.9000000000000000,.
1951-07-01,2.8866666666666667,.
1951-10-01,2.9533333333333333,.
1952-01-01,2.9566666666666667,.
1952-04-01,2.9333333333333333,.
1952-07-01,2.9466666666666667,.
1952-10-01,2.9866666666666667,.
1953-01-01,3.0700000000000000,.
1953-04-01,3.3233333333333333,.
1953-07-01,3.2700000000000000,.
1953-10-01,3.1333333333333333,.
1954-01-01,2.9566666666666667,.
1954-04-01,2.8766666666666667,.
1954-07-01,2.8833333333333333,.
1954-10-01,2.8866666666666667,.
1955-01-01,2.9600000000000000,.
1955-04-01,3.0333333333333333,.
1955-07-01,3.1000000000000000,.
1955-10-01,3.1166666666666667,.
1956-01-01,3.0966666666666667,.
1956-04-01,3.2600000000000000,.
1956-07-01,3.4233333333333333,.
1956-10-01,3.6766666666666667,.
1957-01-01,3.7000000000000000,.
1957-04-01,3.7733333333333333,.
