DATE,IND,EMP,CON,TIV
37895,1.21,-0.1,5.58,6.77
37926,1.46,-0.1,5.9,6.03
37956,1.89,0.1,5.54,6.33
37987,1.37,0.1,6.03,6.01
38018,1.84,0.3,6.42,5
38047,1.57,0.7,6.29,6.07
38078,2.76,0.9,6.14,6.11
38108,3.55,1.2,7.01,5.59
38139,2.52,1.2,6.1,5.04
38169,2.86,1.3,6.21,5.7
38200,3.08,1.4,5.34,5.61
38231,2.57,1.4,6.2,4.69
38261,3.4,1.5,6.74,5.06
38292,2.82,1.6,6.6,4.54
38322,3.65,1.6,6.97,4.28
38353,3.87,1.5,6.04,4.34
38384,3.95,1.7,6.35,4.35
38412,4.3,1.5,6.11,4.22
38443,4.01,1.6,6.89,4.54
38473,3.33,1.5,5.89,3.93
38504,4.59,1.6,7.09,3.9
38534,3.46,1.9,7.43,3.9
38565,3.67,1.9,7.02,3.71
38596,1.64,1.9,6.79,3.65
38626,1.96,1.7,6.59,3.75
38657,2.77,1.9,6.15,3.49
38687,2.66,1.9,5.75,3.38
38718,2.31,2,6.96,3.68
38749,1.61,2,6.58,2.86
38777,1.98,2.2,6.45,3.3
38808,2.22,2,6.12,3.23
38838,1.98,1.9,6.61,3.16
38869,1.98,1.8,5.91,3.27
38899,2.27,1.7,5.58,3.45
38930,2.39,1.6,5.54,3.08
38961,4.13,1.7,5.28,3.13
38991,2.77,1.6,5,3.12
39022,1.64,1.5,4.94,3.26
39052,2.07,1.6,5.57,3.37
39083,1.42,1.5,5.04,3.22
39114,2.43,1.3,5.02,3.62
39142,2.45,1.3,5.08,3.76
39173,2.75,1.2,4.81,3.32
39203,2.91,1.3,4.73,3.03
39234,2.54,1.3,4.62,3.75
39264,2.54,1.1,4.15,5.25
39295,2.37,1,4.64,5.52
39326,2.97,0.9,4.74,5.06
39356,2.6,1,4.84,4.96
39387,3.3,0.9,5.52,6.72
39417,2.25,0.8,4.64,6.62
39448,2.51,0.7,4.35,5.65
39479,1.14,0.6,3.84,4.9
39508,0.68,0.3,3.91,7.49
39539,-0.78,0.1,3.96,5.55
39569,-1.38,-0.1,4.17,6.72
39600,-1.64,-0.3,4.56,6.92
39630,-2.13,-0.4,4.07,6.71
39661,-3.84,-0.6,3.49,6.11
39692,-8.36,-1,2.51,9.69
39722,-7.1,-1.4,1.36,7.32
39753,-8.8,-2,-0.78,5.98
39783,-11.48,-2.6,-1.79,8.51
39814,-13.35,-3.1,-1.47,7.09
39845,-13.62,-3.6,-1.49,6.32
39873,-14.79,-4.2,-2.42,5.01
39904,-14.82,-4.5,-2.72,6.27
39934,-15.2,-4.6,-3.03,6.07
39965,-15.33,-4.9,-2.98,6.83
39995,-13.95,-5,-2.6,6.38
40026,-11.63,-4.9,-1.32,5.4
40057,-6.93,-4.8,-1.59,5.66
40087,-7.51,-4.6,-0.29,5.86
40118,-5.96,-4,1.22,4.27
40148,-2.83,-3.7,2.76,5.24
40179,0.69,-3.2,2.23,4.1
40210,1.71,-2.7,2.71,4.2
40238,4.03,-2,3.81,4.36
40269,5.25,-1.3,3.99,4.58
40299,7.88,-0.6,3.92,4.96
40330,8.46,-0.4,3.51,4.69
40360,7.75,-0.2,3.49,4.99
40391,6.88,0,2.68,4.85
40422,6.32,0.1,3.7,3.99
40452,5.7,0.4,3.75,4.32
40483,5.31,0.5,4.17,4.99
40513,6.01,0.8,3.93,6.42
40544,4.66,0.8,4.34,5.12
40575,3.83,1,4.38,4.94
40603,4.17,1.1,4.57,5
40634,3.42,1.1,4.69,4.44
40664,2.16,0.8,4.75,4.08
40695,2.3,1.1,4.78,5.41
40725,2.4,1.2,4.84,5.88
40756,2.66,1.3,4.62,3.73
40787,2.4,1.5,4.77,3.87
